MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
gotv,GoTV,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,951,8701.0
KURIER,Kurier,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,952,8119.0
Life Radio OÖ,Life Radio,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,953,7644.0
ÖSTERREICH,Österreich,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,954,7137.0
OÖN,OÖNachrichten,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,955,6996.0
NEWS REISEN - KATALOG,News,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,956,6762.0
www.kurier.at,Kurier,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,957,6497.0
KRONEHIT,Krone,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,958,5887.0
Antenne Kärnten,Antenne Kärnten,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,959,5558.0
VOLUME,VOLUME,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,960,5039.0
ORF1,ORF,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,961,89214.0
TT,TT,ÖBB-Personenverkehr Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,962,50808.0
SKYLINES,Sky Lines,ÖBB-Postbus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,963,5252.07
SERVUS IN WIEN,Servus in Wien,ÖBB-Postbus GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,964,5497.8
medianet,Medianet,ÖBB-Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,965,5415.0
ExtraDienst,ExtraDienst,ÖBB-Werbung GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,966,13292.0
ORF 2,ORF,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,967,17000.0
TRP1,TRP1,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,968,19480.0
Tips,Tips,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,969,5212.88
Passauer Neue Presse,Passauer Neue Presse,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,970,6909.46
Radio Oberösterreich,Radio Oberösterreich,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,971,13121.42
ORF-Nachlese,ORF,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,972,5210.1
ORF Oberösterreich,ORF,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,973,14584.0
Kronen Zeitung,Krone,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,974,5239.28
OÖNachrichten,OÖNachrichten,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,975,33342.0
LT1,LT 1,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,976,10826.0
Krone bunt,Krone,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,977,30833.8
Die Welt /  Welt am Sonntag,Die Welt,Oberösterreich Tourismus,0,20123,Werbeaufträge und Medienkooperationen,2012,2,978,9290.5
Tips OÖ,Tips,Oberösterreichische Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,979,15404.5
Bezirksrundschau Oberösterreich (inkl Stadtrundschau),Bezirksrundschau OÖ,Oberösterreichische Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,980,6262.5
Life Radio OÖ,Life Radio,Oberösterreichische Gebietskrankenkasse,0,20123,Werbeaufträge und Medienkooperationen,2012,2,981,14057.5
Oberösterreichische Nachrichten,OÖNachrichten,Oberösterreichische Gesundheits- und Spitals-AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,982,9908.55
Bezirksrundschau Oberösterreich (inkl Stadtrundschau),Bezirksrundschau OÖ,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,983,5578.0
Neues Volksblatt,Neues Volksblatt,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,984,8100.0
ORF Oberösterreich,ORF,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,985,11930.46
Life Radio,Life Radio,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,986,14190.75
Weekend Magazin Oberösterreich,Weekend Magazin,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,987,5244.5
Kronen Zeitung,Krone,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,988,5787.98
OÖ Ärzte,OÖ Ärzte,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,989,8720.74
OÖNachrichten,OÖNachrichten,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,990,19340.98
Österreich,Österreich,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,991,5888.0
Tips,Tips,Oberösterreichische Landesbank Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,992,5095.42
Tips,Tips,Oberösterreichischer Landesabfallverband,0,20123,Werbeaufträge und Medienkooperationen,2012,2,993,15107.46
Bezirksrundschau Oberösterreich (inkl Stadtrundschau),Bezirksrundschau OÖ,Oberösterreichischer Landesabfallverband,0,20123,Werbeaufträge und Medienkooperationen,2012,2,994,14366.82
KLEINE ZEITUNG,Kleine Zeitung,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,995,14496.0
Kronen Zeitung,Krone,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,996,8128.0
KARRIEREN STANDARD,Der Standard,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,997,5859.0
NÖN,Niederösterreichische Nachrichten,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,998,6049.0
WIENER ZEITUNG/AMTSBL. PFLICHT,Wiener Zeiter,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,999,18412.0
ORF Bgld,ORF,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1000,5010.0
ORF Knt,ORF,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1001,6792.0
ORF NÖ,ORF,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1002,9400.0
ORF OÖ,ORF,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1003,7500.0
ORF Stmk,ORF,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1004,7809.0
ORF VLBG,ORF,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1005,5120.0
ORF Wien,ORF,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1006,15600.0
RMA,RMA,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1007,5825.0
Tiroler Tageszeitung,Tiroler Tageszeitung,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1008,9243.0
Weekend,Weekend Magazin,Oesterreichische Nationalbank,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1009,7798.0
DVZ - DEUTSCHE LOGISTIK ZEITUNG Ergebnis,DVZ - DEUTSCHE LOGISTIK ZEITUNG Ergebnis,ÖKOMBI GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1010,8119.0
Tips,Tips,OÖ. Gas-Wärme GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1011,5212.84
OÖNachrichten,OÖNachrichten,OÖ. Gas-Wärme GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1012,15000.0
Kronen Zeitung,Krone,Oö. Theater und Orchester GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1013,8014.29
"Friedrich Verlag, Berlin","Friedrich Verlag, Berlin",Oö. Theater und Orchester GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1014,6644.3
OÖNachrichten,OÖNachrichten,Oö. Theater und Orchester GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1015,15282.2
Google,Google,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1016,46730.0
Plista Online Werbenetzwerk,Plista Online Werbenetzwerk,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1017,6000.0
LT1,LT 1,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1018,12000.0
Cinecom,Cinecom,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1019,36148.29
BTV,BTV,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1020,7600.0
Weekend Magazin Oberösterreich,Weekend Magazin,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1021,10233.0
bz - Wiener Bezirkszeitung,Wiener Bezirkszeitung,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1022,11290.13
Tips,Tips,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1023,10542.72
Bezirksblätter Niederösterreich,Bezirksblätter,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1024,10762.02
Krone bunt,Krone,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1025,41306.0
OÖNachrichten,OÖNachrichten,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1026,7280.76
Neues Volksblatt,Neues Volksblatt,OÖ Thermenholding GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1027,5350.0
Tips,Tips,OÖ Verkehrsverbund- Organisations GmbH Nfg.& Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1028,17413.44
Life Radio,Life Radio,OÖ Verkehrsverbund- Organisations GmbH Nfg.& Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1029,14571.7
Kleine Zeitung,Kleine Zeitung,Opernhaus Graz GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1030,45417.0
NÖN Akzidenz Heimat,Niederösterreichische Nachrichten,ORF Landesstudio Service GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1031,9000.0
www.wkv.at/focus,www.wkv.at,ORF Landesstudio Service GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1032,6000.0
Fallstaff,Falstaff,ORF-Enterprise GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1033,16320.0
Horizont,Horizont,ORF-Enterprise GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1034,21622.25
SATURN magazin,SATURN magazin,ORF-Enterprise GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1035,8825.0
Mediamagazin,Mediamagazin,ORF-Enterprise GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1036,8825.0
medianet Tageszeitung,Medianet,ORF-Enterprise GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1037,16050.0
Bestseller,Bestseller,ORF-Enterprise GmbH & Co KG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1038,7153.25
Essen & Trinken,Essen & Trinken,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1039,18445.0
Übers weite Land,Übers weite Land,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1040,5714.29
Der Standard - Rondo,Der Standard,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1041,5500.0
Salzburger Nachrichten,Salzburger Nachrichten,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1042,5400.0
Der Feinschmecker,Der Feinschmecker,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1043,14042.43
Weinwelt,Weinwelt,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1044,9585.02
Wine Enthusiast,Wine Enthusiast,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1045,9019.66
Vinotheque,Vinotheque,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1046,9000.0
Port Culinaire,Port Culinaire,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1047,7500.0
FINE,Fine,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1048,5707.76
Hotellerie et Gastronomie,Hotellerie et Gastronomie,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1049,5700.38
Wine&Spirits,Wine&Spirits,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1050,5495.46
GastroJournal,GastroJournal,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1051,5097.82
ORF 2,ORF,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1052,73780.0
Kurier,Kurier,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1053,69612.0
Kleine Zeitung,Kleine Zeitung,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1054,33517.0
Interspar Weinjournal,Interspar,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1055,15000.0
Falstaff,Falstaff,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1056,13200.0
OÖ Nachrichten,OÖNachrichten,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1057,11366.0
Gusto,Gusto,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1058,10500.0
"Billa ""frisch gekocht""",Frisch gekocht,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1059,9990.0
Friends of Merkur,Friends of Merkur,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1060,9290.0
Tiroler Tageszeitung,Tiroler Tageszeitung,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1061,7355.55
ORF III,ORF,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1062,6900.0
MAXIMA,MAXIMA,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1063,6600.0
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1064,6600.0
Genuss.Magazin,Genuss.Magazin,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1065,6500.0
Wiener,Wiener,Österreich Wein Marketing GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1066,6000.0
SERVUSTV,Servus,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1067,5416.66
skisport.dk,skisport.dk,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1068,7028.94
SUEDDT.ZEITUNG/MAGAZ,Süddeutsche Zeitung,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1069,11511.72
SUNDAY TIMES MAGAZIN,Sunday Times,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1070,31658.23
The New Yorker,The New Yorker,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1071,45603.31
Turn,Turn,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1072,8264.46
www.reisen.ch,www.reisen.ch,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1073,5950.0
www.travel.ch,www.travel.ch,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1074,5517.79
ZEIT MAGAZIN,Die Zeit,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1075,18798.6
Zingarate,Zingarate,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1076,5710.0
Augsburger Allgemein,Augsburger Allgemein,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1077,18078.48
CBN,CBN,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1078,24294.0
Chilli ZET,Chilli ZET,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1079,13247.27
Chrismon,Chrismon,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1080,17860.0
CONDE NAST TRAVELLER,CONDE NAST TRAVELLER,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1081,8974.36
CpC Schweizer Prem.,CpC Schweizer Prem.,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1082,31265.47
DIE ZEIT,Die Zeit,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1083,9265.0
Eldorado,Eldorado,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1084,26393.33
e-pixler,e-pixler,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1085,11653.85
ESSEN & TRINKEN,Essen & Trinken,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1086,17338.3
FIGAROSCOPE,FIGAROSCOPE,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1087,9575.0
Folha.com,Folha.com,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1088,18269.0
Globe TV,Globe TV,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1089,15533.33
Hotel & Touristik,Hotel & Touristik,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1090,5994.0
Kidy Swissfamily,Kidy Swissfamily,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1091,8000.0
KULTURSPIEGEL,Kulturspiegel,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1092,19665.85
Ligatus,Ligatus Österreich,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1093,16870.1
Arukikata (Web),Arukikata (Web),Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1094,9650.62
Asahi Shimbun,Asahi Shimbun,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1095,50668.83
Ligatus Österreich,Ligatus Österreich,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1096,7500.0
Luxury Travel Adviso,Luxury Travel Advisor,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1097,8264.46
Münchner Merkur,Münchner Merkur,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1098,15000.0
nectar&puls,nectar&puls,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1099,5430.93
Newsnetz,Newsnetz,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1100,11669.01
NZZ,Neue Zürcher Zeitung,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1101,5035.0
Opera News,Opera News,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1102,10330.58
Paid Search,Paid Search,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1103,16528.93
Plista,Plista,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1104,15036.7
PRISA Brands,PRISA Brands,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1105,5391.3
Schweizer Illustr.,Schweizer Illustrierte,Österreich Werbung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1106,33195.6
Der Standard - Beilage Forschung,Der Standard,Österreichische Agentur für Gesundheit und Ernährungssicherheit GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1107,12000.0
Die Presse,Die Presse,Österreichische Akademie der Wissenschaften,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1108,9000.0
Österreichischer Rundfunk - ORF,ORF,Österreichische Akademie der Wissenschaften,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1109,14250.0
NÖN,Niederösterreichische Nachrichten,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1110,25480.0
NEWS LEBEN,News,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1111,11760.0
Mach mit!,Mach mit!,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1112,7395.0
krone gesund,Krone,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1113,82321.43
Kleine Zeitung,Kleine Zeitung,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1114,7573.0
Kommunal,Kommunal,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1115,6604.5
tele,tele,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1116,58800.0
Österreichischer Rundfunk - ORF,ORF,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1117,23054.0
Hörfunk Ö3,ORF,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1118,37650.82
Alanova,Alanova,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1119,5880.0
Welldone,Welldone,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1120,6300.0
Weekend,Weekend Magazin,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1121,14072.5
UG - Unsere Generation,Unsere Generation,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1122,56227.5
Bezirksblätter,Bezirksblätter,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1123,47642.92
Gesünder leben,Gesünder Leben,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1124,6397.44
Gesund + Leben in Niederösterreich,Gesund + Leben in Niederösterreich,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1125,16313.0
ab5zig - Wiener Seniorenblatt,ab5zig - Wiener Seniorenblatt,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1126,8141.3
Apotheker Krone,Krone,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1127,20952.0
Die Ganze Woche,Ganze Woche,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1128,50126.02
Österreichischer Rundfunk - ORF,ORF,Österreichische Apothekerkammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1129,97177.66
y-doc Infotainment,y-doc Infotainment,Österreichische Ärztekammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1130,11000.0
Der Standard,Der Standard,Österreichische Ärztekammer,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1131,7000.0
PROFIL,Profil,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1132,6243.0
STANDARD,Der Standard,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1133,21609.0
FALTER,Falter,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1134,8365.0
HEUTE,Heute,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1135,80100.0
ÖSTERREICH,Österreich,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1136,77081.0
KURIER,Kurier,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1137,27702.0
KRONE,Krone,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1138,95847.0
SN,Salzburger Nachrichten,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1139,12045.0
ORF1,ORF,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1140,80914.0
BESTSELLER,Bestseller,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1141,11150.0
GEWINN,Gewinn,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1142,10529.0
MEDIANET,Medianet,Österreichische Bundesbahnen-Holding Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1143,8538.0
WALD-Magazin,WALD-Magazin,Österreichische Bundesforste AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1144,35000.0
Die Presse,Die Presse,Österreichische Forschungsförderungsgesellschaft mbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1145,45798.24
Der Standard,Der Standard,Österreichische Forschungsförderungsgesellschaft mbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1146,14950.0
Mediaprint,Mediaprint Zeitungs- und Zeitschriftenverlag Ges.m.b.H & Co KG,Österreichische Galerie Belvedere,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1147,8841.0
Die Presse,Die Presse,Österreichische Galerie Belvedere,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1148,5250.0
Infoscreen,Infoscreen,Österreichische Galerie Belvedere,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1149,6674.0
Österreich Werbung,Österreich,Österreichische Nationalbibliothek,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1150,7928.01
Krone Hit,Krone,Österreichische Post Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1151,5463.92
ORF 2,ORF,Österreichische Post Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,1152,51105.0
