MEDIUM_MEDIENINHABER,medium,RECHTSTRÄGER,LEERMELDUNG,QUARTAL,bekanntgabe_description,year,BEKANNTGABE,id,EURO
NÖN,Niederösterreichische Nachrichten,Ausgleichstaxfonds,0,20123,Werbeaufträge und Medienkooperationen,2012,2,96,18562.88
Neue Zürcher Zeitung,Neue Zürcher Zeitung,Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,97,16683.24
Il Sole 24 Ore,Il Sole 24 Ore,Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,98,8330.0
Wirtschaftswoche,Wirtschaftswoche,Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,99,34821.1
Manager Magazin,Manager Magazin,Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,100,25840.0
Impulse,Impulse,Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,101,23112.0
Capital,Capital,Austrian Business Agency österreichische Industrieansiedlungs- und WirtschaftswerbungsgmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,102,39755.0
Kurier,Kurier,Austrian Development Agency,0,20123,Werbeaufträge und Medienkooperationen,2012,2,103,6515.06
ORF Salzburg,ORF,Austrian Power Grid AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,104,11470.0
Die Presse,Die Presse,Austrian Power Grid AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,105,7309.16
Kurier,Kurier,Austrian Power Grid AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,106,6596.01
Kronen Zeitung,Krone,Austrian Power Grid AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,107,7836.0
Der Standard,Der Standard,Austrian Power Grid AG,0,20123,Werbeaufträge und Medienkooperationen,2012,2,108,10531.91
futurezone,Kurier,AustriaTech - Ges. des Bundes für technologiepolitische Maßnahmen GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,109,10500.0
Österreich,Österreich,Austro Control Österreichische Ges. für Zivilluftfahrt mit beschränkter Haftung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,110,17100.18
Heute,Heute,Austro Control Österreichische Ges. für Zivilluftfahrt mit beschränkter Haftung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,111,9474.02
Sky Revue,Sky Revue,Austro Control Österreichische Ges. für Zivilluftfahrt mit beschränkter Haftung,0,20123,Werbeaufträge und Medienkooperationen,2012,2,112,5060.0
Kleine Zeitung,Kleine Zeitung,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,113,21801.84
Salzburger Nachrichten,Salzburger Nachrichten,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,114,9792.0
Vorarlberger Nachrichten,Vorarlberger Nachrichten,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,115,10835.84
Verkehr,Verkehr,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,116,5006.5
ExtraDienst,ExtraDienst,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,117,7000.0
Hitradio Ö3,ORF,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,118,41662.49
Krone bunt,Krone,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,119,38687.58
tv-media,TV-media,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,120,6980.62
NEWS,News,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,121,7044.37
Woman,Woman,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,122,6738.37
auto touring,auto touring,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,123,16779.0
OÖNachrichten,OÖNachrichten,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,124,20694.8
Tiroler Tageszeitung,Tiroler Tageszeitung,Autobahnen- und Schnellstraßen-Finanzierungs- Aktiengesellschaft,0,20123,Werbeaufträge und Medienkooperationen,2012,2,125,9313.3
Österreichischer Rundfunk - ORF,ORF,AVE Energie AG Oberösterreich Umwelt GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,126,16000.0
Eurokommunal,Eurokommunal,AVE Österreich GmbH,0,20123,Werbeaufträge und Medienkooperationen,2012,2,127,5200.0
